quarter,top_ci_01_emp,bottom_ci_01_emp,top_ci_emp_se,bottom_ci_emp_se
1,0.09489853762714391,-0.06424838713070855,0.0032339727844089556,0.003413189102212021
2,0.11519420384707094,-0.04085768370556284,0.004116211889706713,0.0043458622349341865
3,0.1280672765697861,-0.022828029519268066,0.004830251756196854,0.004989654909081086
4,0.13169468706835877,-0.016258589704356785,0.005384774142562918,0.005643954165855019
5,0.14299512528667152,-0.0004986545587688032,0.005836322603681117,0.0061953827295488165
6,0.14341970585970004,0.0057642027695335215,0.006006717662228873,0.006288211739710577
7,0.14170512825718376,0.007383881201978051,0.0063305553110025534,0.006658422760215656
8,0.14169046162306564,0.010517045060399955,0.006664254074074508,0.006954736682377018
9,0.14388411798317238,0.015685001502260314,0.007082032923149077,0.007394667768658943
10,0.14093658686912994,0.015210939973499153,0.007571704113100431,0.0078078870673780176
11,0.14113993270461045,0.01837029682772967,0.007902691954089533,0.008105342868980963
12,0.13770753301952557,0.019684841019494043,0.007946101531555555,0.008144414968497184
13,0.13483822724657235,0.021212878129039655,0.008236554614592726,0.008336694418935737
14,0.13393949269447067,0.023277353270637194,0.008588915959104809,0.008622971150347651
15,0.13303194972170923,0.02435680074063813,0.00869153050100386,0.00878057281093231
16,0.12362598066465456,0.018646201845078605,0.009093181896031628,0.009203969329221124
17,0.12524397451991276,0.024414455601249677,0.009160048094695348,0.009286171563884409
18,0.12453242761023345,0.028244283030408678,0.00934613749051914,0.009487000801981513
19,0.12121291549039946,0.02783385216624967,0.009426755375982938,0.009534404831135695
20,0.12108976803982127,0.03262328043519649,0.009445271614453198,0.009520867339191712
21,0.11613913218553033,0.031904580377106674,0.009493981654546279,0.009562509481755133
22,0.11324959460904897,0.032475375733684184,0.009497420554764033,0.009570509037168244
23,0.11261518263129316,0.03546530625265605,0.009565220032660448,0.009675689777742481
24,0.11039253881520372,0.03693461076943434,0.009602774574632848,0.009673921044110046
25,0.1077655155009938,0.03754950291492769,0.009632146370040279,0.00968561337336141
26,0.10181576813209642,0.03534227604499258,0.009688913959035686,0.009723211811032842
27,0.09889184272537173,0.03614451605850455,0.009782129415216882,0.009802306512708643
28,0.09489652411378016,0.035763947032715675,0.009707697836550429,0.009731219752335311
29,0.09208832530559172,0.03677466383961536,0.00970145659153536,0.009752519878590198
30,0.08916484147493113,0.03746279918450633,0.009757590628547315,0.009808848527839732
31,0.08897047860711094,0.04037764453137951,0.00976510492707698,0.009816053712036126
32,0.0853573640013066,0.04018837987794267,0.00976416720652612,0.009792153205047567
33,0.08412803213519168,0.04184497897721366,0.009853490783441738,0.009845887694718622
34,0.08107212592970944,0.04215947407939431,0.009843645791431032,0.009861160203872291
35,0.080283038893987,0.04447428498775835,0.009828079347263582,0.009836223434935058
36,0.07815160257510714,0.0458561779227606,0.009816237109576242,0.009816237100919351
